roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0024,sio2 all 20 dish white_p01,sio2,train,0.43025465610993235
sio2 all 20 dish white_p01_r0025,sio2 all 20 dish white_p01,sio2,train,0.4095681416958409
sio2 all 20 dish white_p01_r0026,sio2 all 20 dish white_p01,sio2,train,0.4062098229219424
sio2 all 20 dish white_p01_r0027,sio2 all 20 dish white_p01,sio2,train,0.4079151793137366
sio2 all 20 dish white_p01_r0028,sio2 all 20 dish white_p01,sio2,train,0.403939630635819
sio2 all 20 dish white_p01_r0029,sio2 all 20 dish white_p01,sio2,train,0.4093812208311866
sio2 all 20 dish white_p01_r0030,sio2 all 20 dish white_p01,sio2,train,0.419075918967677
sio2 all 20 dish white_p01_r0031,sio2 all 20 dish white_p01,sio2,train,0.4342338338960718
sio2 all 20 dish white_p01_r0032,sio2 all 20 dish white_p01,sio2,train,0.4350511671697157
sio2 all 20 dish white_p01_r0033,sio2 all 20 dish white_p01,sio2,train,0.41048417951720784
sio2 all 20 dish white_p01_r0034,sio2 all 20 dish white_p01,sio2,train,0.40850774238697024
sio2 all 20 dish white_p01_r0035,sio2 all 20 dish white_p01,sio2,train,0.40816287266556556
sio2 all 20 dish white_p01_r0036,sio2 all 20 dish white_p01,sio2,train,0.4095579388923601
sio2 all 20 dish white_p01_r0037,sio2 all 20 dish white_p01,sio2,train,0.4050424170470239
sio2 all 20 dish white_p01_r0038,sio2 all 20 dish white_p01,sio2,train,0.41573476422654565
sio2 all 20 dish white_p01_r0039,sio2 all 20 dish white_p01,sio2,train,0.4264626789149189
sio2 all 20 dish white_p01_r0040,sio2 all 20 dish white_p01,sio2,train,0.4255289820630163
sio2 all 20 dish white_p01_r0041,sio2 all 20 dish white_p01,sio2,train,0.42148348260779744
sio2 all 20 dish white_p01_r0042,sio2 all 20 dish white_p01,sio2,train,0.4268603524663308
sio2 all 20 dish white_p01_r0043,sio2 all 20 dish white_p01,sio2,train,0.42293670555840474
sio2 all 20 dish white_p01_r0044,sio2 all 20 dish white_p01,sio2,train,0.41087493831691707
sio2 all 20 dish white_p01_r0045,sio2 all 20 dish white_p01,sio2,train,0.41124536902225933
sio2 all 20 dish white_p01_r0046,sio2 all 20 dish white_p01,sio2,train,0.412666031812816
sio2 all 20 dish white_p01_r0047,sio2 all 20 dish white_p01,sio2,train,0.41351865724217113
sio2 all 20 dish white_p01_r0048,sio2 all 20 dish white_p01,sio2,train,0.41233281162382934
sio2 all 20 dish white_p01_r0049,sio2 all 20 dish white_p01,sio2,train,0.408605942653198
sio2 all 20 dish white_p01_r0050,sio2 all 20 dish white_p01,sio2,train,0.4157527517659787
sio2 all 20 dish white_p01_r0051,sio2 all 20 dish white_p01,sio2,train,0.42302864290245207
sio2 all 20 dish white_p01_r0052,sio2 all 20 dish white_p01,sio2,train,0.4242201570998895
sio2 all 20 dish white_p01_r0053,sio2 all 20 dish white_p01,sio2,train,0.4507228383136372
sio2 all 20 dish white_p01_r0054,sio2 all 20 dish white_p01,sio2,train,0.442229561988985
sio2 all 20 dish white_p01_r0055,sio2 all 20 dish white_p01,sio2,train,0.4275784453980328
sio2 all 20 dish white_p01_r0056,sio2 all 20 dish white_p01,sio2,train,0.40887420057947454
sio2 all 20 dish white_p01_r0057,sio2 all 20 dish white_p01,sio2,train,0.4083560220588411
sio2 all 20 dish white_p01_r0058,sio2 all 20 dish white_p01,sio2,train,0.42596437388993125
sio2 all 20 dish white_p01_r0059,sio2 all 20 dish white_p01,sio2,train,0.40355678481639934
sio2 all 20 dish white_p01_r0060,sio2 all 20 dish white_p01,sio2,train,0.4179787472219602
sio2 all 20 dish white_p01_r0061,sio2 all 20 dish white_p01,sio2,train,0.41523704970793984
sio2 all 20 dish white_p01_r0062,sio2 all 20 dish white_p01,sio2,train,0.4134526852872372
sio2 all 20 dish white_p01_r0063,sio2 all 20 dish white_p01,sio2,train,0.41243587868721054
sio2 all 20 dish white_p01_r0064,sio2 all 20 dish white_p01,sio2,train,0.4104465765403989
sio2 all 20 dish white_p01_r0065,sio2 all 20 dish white_p01,sio2,train,0.41264812763266817
sio2 all 20 dish white_p01_r0066,sio2 all 20 dish white_p01,sio2,train,0.41487152821661544
sio2 all 20 dish white_p01_r0067,sio2 all 20 dish white_p01,sio2,train,0.41542859833650037
sio2 all 20 dish white_p01_r0068,sio2 all 20 dish white_p01,sio2,train,0.43188908417313215
sio2 all 20 dish white_p01_r0069,sio2 all 20 dish white_p01,sio2,train,0.46999202823611413
sio2 all 20 dish white_p01_r0070,sio2 all 20 dish white_p01,sio2,train,0.45274392653373474
sio2 all 20 dish white_p01_r0071,sio2 all 20 dish white_p01,sio2,train,0.43896517946528973
sio2 all 20 dish white_p01_r0072,sio2 all 20 dish white_p01,sio2,train,0.41215331628177165
sio2 all 20 dish white_p01_r0073,sio2 all 20 dish white_p01,sio2,train,0.42204388757619815
sio2 all 20 dish white_p01_r0074,sio2 all 20 dish white_p01,sio2,train,0.4503546207331207
sio2 all 20 dish white_p01_r0075,sio2 all 20 dish white_p01,sio2,train,0.42798663222026223
sio2 all 20 dish white_p01_r0076,sio2 all 20 dish white_p01,sio2,train,0.40811425352539793
sio2 all 20 dish white_p01_r0077,sio2 all 20 dish white_p01,sio2,train,0.41769740350411266
sio2 all 20 dish white_p01_r0078,sio2 all 20 dish white_p01,sio2,train,0.39592397546535046
sio2 all 20 dish white_p01_r0079,sio2 all 20 dish white_p01,sio2,train,0.4124052159075506
sio2 all 20 dish white_p01_r0080,sio2 all 20 dish white_p01,sio2,train,0.42421375732041544
sio2 all 20 dish white_p01_r0081,sio2 all 20 dish white_p01,sio2,train,0.4183518881878726
sio2 all 20 dish white_p01_r0082,sio2 all 20 dish white_p01,sio2,train,0.41708979818343905
sio2 all 20 dish white_p01_r0083,sio2 all 20 dish white_p01,sio2,train,0.41828022649129554
sio2 all 20 dish white_p01_r0084,sio2 all 20 dish white_p01,sio2,train,0.41218914672680784
sio2 all 20 dish white_p01_r0085,sio2 all 20 dish white_p01,sio2,train,0.4179556886907311
sio2 all 20 dish white_p01_r0086,sio2 all 20 dish white_p01,sio2,train,0.42030370489802565
sio2 all 20 dish white_p01_r0087,sio2 all 20 dish white_p01,sio2,train,0.4173540651637653
sio2 all 20 dish white_p01_r0088,sio2 all 20 dish white_p01,sio2,train,0.4509439635447139
sio2 all 20 dish white_p01_r0089,sio2 all 20 dish white_p01,sio2,train,0.4864843657342592
sio2 all 20 dish white_p01_r0090,sio2 all 20 dish white_p01,sio2,train,0.4574548056007438
sio2 all 20 dish white_p01_r0091,sio2 all 20 dish white_p01,sio2,train,0.4353883138836838
sio2 all 20 dish white_p01_r0092,sio2 all 20 dish white_p01,sio2,train,0.43589331779986057
sio2 all 20 dish white_p01_r0093,sio2 all 20 dish white_p01,sio2,train,0.45683404292010493
sio2 all 20 dish white_p01_r0094,sio2 all 20 dish white_p01,sio2,train,0.4704615671839296
sio2 all 20 dish white_p01_r0095,sio2 all 20 dish white_p01,sio2,train,0.4404126544972463
sio2 all 20 dish white_p01_r0096,sio2 all 20 dish white_p01,sio2,train,0.4174394023822138
sio2 all 20 dish white_p01_r0097,sio2 all 20 dish white_p01,sio2,train,0.42941020852563955
sio2 all 20 dish white_p01_r0098,sio2 all 20 dish white_p01,sio2,train,0.4257060733384337
sio2 all 20 dish white_p01_r0099,sio2 all 20 dish white_p01,sio2,train,0.4136722361370581
sio2 all 20 dish white_p01_r0100,sio2 all 20 dish white_p01,sio2,train,0.40295654270587083
sio2 all 20 dish white_p01_r0101,sio2 all 20 dish white_p01,sio2,train,0.40172188487113264
sio2 all 20 dish white_p01_r0102,sio2 all 20 dish white_p01,sio2,train,0.4196945005321409
sio2 all 20 dish white_p01_r0103,sio2 all 20 dish white_p01,sio2,train,0.4277047529868349
sio2 all 20 dish white_p01_r0104,sio2 all 20 dish white_p01,sio2,train,0.4198120346656001
sio2 all 20 dish white_p01_r0105,sio2 all 20 dish white_p01,sio2,train,0.4190871281585191
sio2 all 20 dish white_p01_r0106,sio2 all 20 dish white_p01,sio2,train,0.4286786781700643
sio2 all 20 dish white_p01_r0107,sio2 all 20 dish white_p01,sio2,train,0.429200638770572
sio2 all 20 dish white_p01_r0108,sio2 all 20 dish white_p01,sio2,train,0.4276057155523839
sio2 all 20 dish white_p01_r0109,sio2 all 20 dish white_p01,sio2,train,0.42794920482537663
sio2 all 20 dish white_p01_r0110,sio2 all 20 dish white_p01,sio2,train,0.4280134024039039
sio2 all 20 dish white_p01_r0111,sio2 all 20 dish white_p01,sio2,train,0.46221951299868297
sio2 all 20 dish white_p01_r0112,sio2 all 20 dish white_p01,sio2,train,0.4937369414536286
sio2 all 20 dish white_p01_r0113,sio2 all 20 dish white_p01,sio2,train,0.453574596904478
sio2 all 20 dish white_p01_r0114,sio2 all 20 dish white_p01,sio2,train,0.44626285488725875
sio2 all 20 dish white_p01_r0115,sio2 all 20 dish white_p01,sio2,train,0.4087246805227133
sio2 all 20 dish white_p01_r0116,sio2 all 20 dish white_p01,sio2,train,0.42513431743451674
sio2 all 20 dish white_p01_r0117,sio2 all 20 dish white_p01,sio2,train,0.4536161037808342
sio2 all 20 dish white_p01_r0118,sio2 all 20 dish white_p01,sio2,train,0.4274543687634362
sio2 all 20 dish white_p01_r0119,sio2 all 20 dish white_p01,sio2,train,0.4239556805859501
sio2 all 20 dish white_p01_r0120,sio2 all 20 dish white_p01,sio2,train,0.4399433790298123
sio2 all 20 dish white_p01_r0121,sio2 all 20 dish white_p01,sio2,train,0.438450988835752
sio2 all 20 dish white_p01_r0122,sio2 all 20 dish white_p01,sio2,train,0.42985431069906116
sio2 all 20 dish white_p01_r0123,sio2 all 20 dish white_p01,sio2,train,0.4256816365679054
sio2 all 20 dish white_p01_r0124,sio2 all 20 dish white_p01,sio2,train,0.48046356687399955
sio2 all 20 dish white_p01_r0125,sio2 all 20 dish white_p01,sio2,train,0.4007562666770557
sio2 all 20 dish white_p01_r0126,sio2 all 20 dish white_p01,sio2,train,0.40445914473143174
sio2 all 20 dish white_p01_r0127,sio2 all 20 dish white_p01,sio2,train,0.41471121189423726
sio2 all 20 dish white_p01_r0128,sio2 all 20 dish white_p01,sio2,train,0.4255765685931178
sio2 all 20 dish white_p01_r0129,sio2 all 20 dish white_p01,sio2,train,0.4206237390362249
sio2 all 20 dish white_p01_r0130,sio2 all 20 dish white_p01,sio2,train,0.4269755840451047
sio2 all 20 dish white_p01_r0131,sio2 all 20 dish white_p01,sio2,train,0.43080341757448226
sio2 all 20 dish white_p01_r0132,sio2 all 20 dish white_p01,sio2,train,0.4330331251261102
sio2 all 20 dish white_p01_r0133,sio2 all 20 dish white_p01,sio2,train,0.4341750601435837
sio2 all 20 dish white_p01_r0134,sio2 all 20 dish white_p01,sio2,train,0.42575135115802415
sio2 all 20 dish white_p01_r0135,sio2 all 20 dish white_p01,sio2,train,0.44105155065054696
sio2 all 20 dish white_p01_r0136,sio2 all 20 dish white_p01,sio2,train,0.47808949162718234
sio2 all 20 dish white_p01_r0137,sio2 all 20 dish white_p01,sio2,train,0.49944590715165904
sio2 all 20 dish white_p01_r0138,sio2 all 20 dish white_p01,sio2,train,0.529645149628372
sio2 all 20 dish white_p01_r0139,sio2 all 20 dish white_p01,sio2,train,0.4406372204705611
sio2 all 20 dish white_p01_r0140,sio2 all 20 dish white_p01,sio2,train,0.44213848860639005
sio2 all 20 dish white_p01_r0141,sio2 all 20 dish white_p01,sio2,train,0.42407689209326327
sio2 all 20 dish white_p01_r0142,sio2 all 20 dish white_p01,sio2,train,0.4030395412286588
sio2 all 20 dish white_p01_r0143,sio2 all 20 dish white_p01,sio2,train,0.4042039671930077
sio2 all 20 dish white_p01_r0144,sio2 all 20 dish white_p01,sio2,train,0.41788288981206334
sio2 all 20 dish white_p01_r0145,sio2 all 20 dish white_p01,sio2,train,0.4310433509553902
sio2 all 20 dish white_p01_r0146,sio2 all 20 dish white_p01,sio2,train,0.4315063246192775
sio2 all 20 dish white_p01_r0147,sio2 all 20 dish white_p01,sio2,train,0.4258312224408526
sio2 all 20 dish white_p01_r0148,sio2 all 20 dish white_p01,sio2,train,0.45131564993331225
sio2 all 20 dish white_p01_r0149,sio2 all 20 dish white_p01,sio2,train,0.5126251694685838
sio2 all 20 dish white_p01_r0150,sio2 all 20 dish white_p01,sio2,train,0.528731417984677
sio2 all 20 dish white_p01_r0151,sio2 all 20 dish white_p01,sio2,train,0.4613451733225073
sio2 all 20 dish white_p01_r0152,sio2 all 20 dish white_p01,sio2,train,0.4173570277733367
sio2 all 20 dish white_p01_r0153,sio2 all 20 dish white_p01,sio2,train,0.4059763667808122
sio2 all 20 dish white_p01_r0154,sio2 all 20 dish white_p01,sio2,train,0.4001558042017842
sio2 all 20 dish white_p01_r0155,sio2 all 20 dish white_p01,sio2,train,0.41239010578987123
sio2 all 20 dish white_p01_r0156,sio2 all 20 dish white_p01,sio2,train,0.41623186466874823
sio2 all 20 dish white_p01_r0157,sio2 all 20 dish white_p01,sio2,train,0.4243883912802805
sio2 all 20 dish white_p01_r0158,sio2 all 20 dish white_p01,sio2,train,0.4226713240278422
sio2 all 20 dish white_p01_r0159,sio2 all 20 dish white_p01,sio2,train,0.42754434319884066
sio2 all 20 dish white_p01_r0160,sio2 all 20 dish white_p01,sio2,train,0.4386700357754418
sio2 all 20 dish white_p01_r0161,sio2 all 20 dish white_p01,sio2,train,0.43778100763645006
sio2 all 20 dish white_p01_r0162,sio2 all 20 dish white_p01,sio2,train,0.4353462156676138
sio2 all 20 dish white_p01_r0163,sio2 all 20 dish white_p01,sio2,train,0.43265948060297466
sio2 all 20 dish white_p01_r0164,sio2 all 20 dish white_p01,sio2,train,0.476379636343473
sio2 all 20 dish white_p01_r0165,sio2 all 20 dish white_p01,sio2,train,0.5021623322426209
sio2 all 20 dish white_p01_r0166,sio2 all 20 dish white_p01,sio2,train,0.5193189115989308
sio2 all 20 dish white_p01_r0167,sio2 all 20 dish white_p01,sio2,train,0.5360319464989727
sio2 all 20 dish white_p01_r0168,sio2 all 20 dish white_p01,sio2,train,0.4426477826099821
sio2 all 20 dish white_p01_r0169,sio2 all 20 dish white_p01,sio2,train,0.43171454442338825
sio2 all 20 dish white_p01_r0170,sio2 all 20 dish white_p01,sio2,train,0.4336490991598017
sio2 all 20 dish white_p01_r0171,sio2 all 20 dish white_p01,sio2,train,0.4290053530449235
sio2 all 20 dish white_p01_r0172,sio2 all 20 dish white_p01,sio2,train,0.4316013571301891
sio2 all 20 dish white_p01_r0173,sio2 all 20 dish white_p01,sio2,train,0.4342220539076252
sio2 all 20 dish white_p01_r0174,sio2 all 20 dish white_p01,sio2,train,0.4373686223336727
sio2 all 20 dish white_p01_r0175,sio2 all 20 dish white_p01,sio2,train,0.43640904672316005
sio2 all 20 dish white_p01_r0176,sio2 all 20 dish white_p01,sio2,train,0.4380635096748387
sio2 all 20 dish white_p01_r0177,sio2 all 20 dish white_p01,sio2,train,0.4431427405425864
sio2 all 20 dish white_p01_r0178,sio2 all 20 dish white_p01,sio2,train,0.534162220576818
sio2 all 20 dish white_p01_r0179,sio2 all 20 dish white_p01,sio2,train,0.5836094039199546
sio2 all 20 dish white_p01_r0180,sio2 all 20 dish white_p01,sio2,train,0.5686490558182983
sio2 all 20 dish white_p01_r0181,sio2 all 20 dish white_p01,sio2,train,0.47924068803425374
sio2 all 20 dish white_p01_r0182,sio2 all 20 dish white_p01,sio2,train,0.43504587461092364
sio2 all 20 dish white_p01_r0183,sio2 all 20 dish white_p01,sio2,train,0.4245293838340628
sio2 all 20 dish white_p01_r0184,sio2 all 20 dish white_p01,sio2,train,0.41887394494831764
sio2 all 20 dish white_p01_r0185,sio2 all 20 dish white_p01,sio2,train,0.39587506912548853
sio2 all 20 dish white_p01_r0186,sio2 all 20 dish white_p01,sio2,train,0.3968400226778382
sio2 all 20 dish white_p01_r0187,sio2 all 20 dish white_p01,sio2,train,0.41113924586030726
sio2 all 20 dish white_p01_r0188,sio2 all 20 dish white_p01,sio2,train,0.42765000751007265
sio2 all 20 dish white_p01_r0189,sio2 all 20 dish white_p01,sio2,train,0.4200647620668012
sio2 all 20 dish white_p01_r0190,sio2 all 20 dish white_p01,sio2,train,0.4259412588762259
sio2 all 20 dish white_p01_r0191,sio2 all 20 dish white_p01,sio2,train,0.45330141023188036
sio2 all 20 dish white_p01_r0192,sio2 all 20 dish white_p01,sio2,train,0.45972938822289156
sio2 all 20 dish white_p01_r0193,sio2 all 20 dish white_p01,sio2,train,0.4600310644961241
sio2 all 20 dish white_p01_r0194,sio2 all 20 dish white_p01,sio2,train,0.44359523717643756
sio2 all 20 dish white_p01_r0195,sio2 all 20 dish white_p01,sio2,train,0.4667148157534704
sio2 all 20 dish white_p01_r0196,sio2 all 20 dish white_p01,sio2,train,0.5059036126288352
sio2 all 20 dish white_p01_r0197,sio2 all 20 dish white_p01,sio2,train,0.5312154412379593
sio2 all 20 dish white_p01_r0198,sio2 all 20 dish white_p01,sio2,train,0.5401831296705187
sio2 all 20 dish white_p01_r0199,sio2 all 20 dish white_p01,sio2,train,0.5664684836155051
sio2 all 20 dish white_p01_r0200,sio2 all 20 dish white_p01,sio2,train,0.4502722218364456
sio2 all 20 dish white_p01_r0201,sio2 all 20 dish white_p01,sio2,train,0.4309014973258322
sio2 all 20 dish white_p01_r0202,sio2 all 20 dish white_p01,sio2,train,0.4356462751702059
sio2 all 20 dish white_p01_r0203,sio2 all 20 dish white_p01,sio2,train,0.4278779080575765
sio2 all 20 dish white_p01_r0204,sio2 all 20 dish white_p01,sio2,train,0.4305473044892194
sio2 all 20 dish white_p01_r0205,sio2 all 20 dish white_p01,sio2,train,0.43620823561584876
sio2 all 20 dish white_p01_r0206,sio2 all 20 dish white_p01,sio2,train,0.43720529991219526
sio2 all 20 dish white_p01_r0207,sio2 all 20 dish white_p01,sio2,train,0.4406233171054309
sio2 all 20 dish white_p01_r0208,sio2 all 20 dish white_p01,sio2,train,0.43809244325436864
sio2 all 20 dish white_p01_r0209,sio2 all 20 dish white_p01,sio2,train,0.44291027271661326
sio2 all 20 dish white_p01_r0210,sio2 all 20 dish white_p01,sio2,train,0.5192213334647817
sio2 all 20 dish white_p01_r0211,sio2 all 20 dish white_p01,sio2,train,0.5717020685789209
sio2 all 20 dish white_p01_r0212,sio2 all 20 dish white_p01,sio2,train,0.5683187773468927
sio2 all 20 dish white_p01_r0213,sio2 all 20 dish white_p01,sio2,train,0.4717073973234997
sio2 all 20 dish white_p01_r0214,sio2 all 20 dish white_p01,sio2,train,0.4464766823876464
sio2 all 20 dish white_p01_r0215,sio2 all 20 dish white_p01,sio2,train,0.43935221935836155
sio2 all 20 dish white_p01_r0216,sio2 all 20 dish white_p01,sio2,train,0.4215166802154915
sio2 all 20 dish white_p01_r0217,sio2 all 20 dish white_p01,sio2,train,0.41997623713047605
sio2 all 20 dish white_p01_r0218,sio2 all 20 dish white_p01,sio2,train,0.4049139738808928
sio2 all 20 dish white_p01_r0219,sio2 all 20 dish white_p01,sio2,train,0.4127175983047086
sio2 all 20 dish white_p01_r0220,sio2 all 20 dish white_p01,sio2,train,0.3959624993595826
sio2 all 20 dish white_p01_r0221,sio2 all 20 dish white_p01,sio2,train,0.3911341098501186
sio2 all 20 dish white_p01_r0222,sio2 all 20 dish white_p01,sio2,train,0.41943642365944955
sio2 all 20 dish white_p01_r0223,sio2 all 20 dish white_p01,sio2,train,0.4335978876557189
sio2 all 20 dish white_p01_r0224,sio2 all 20 dish white_p01,sio2,train,0.4343354077588291
sio2 all 20 dish white_p01_r0225,sio2 all 20 dish white_p01,sio2,train,0.4458991321933937
sio2 all 20 dish white_p01_r0226,sio2 all 20 dish white_p01,sio2,train,0.4823854611734774
sio2 all 20 dish white_p01_r0227,sio2 all 20 dish white_p01,sio2,train,0.5120637897365128
sio2 all 20 dish white_p01_r0228,sio2 all 20 dish white_p01,sio2,train,0.4973050965478785
sio2 all 20 dish white_p01_r0229,sio2 all 20 dish white_p01,sio2,train,0.4812829381787182
sio2 all 20 dish white_p01_r0230,sio2 all 20 dish white_p01,sio2,train,0.5038531326580403
sio2 all 20 dish white_p01_r0231,sio2 all 20 dish white_p01,sio2,train,0.5388043939995787
sio2 all 20 dish white_p01_r0232,sio2 all 20 dish white_p01,sio2,train,0.5486642119373857
sio2 all 20 dish white_p01_r0233,sio2 all 20 dish white_p01,sio2,train,0.5611150088291846
sio2 all 20 dish white_p01_r0234,sio2 all 20 dish white_p01,sio2,train,0.580567009524437
sio2 all 20 dish white_p01_r0235,sio2 all 20 dish white_p01,sio2,train,0.5949734727065932
sio2 all 20 dish white_p01_r0236,sio2 all 20 dish white_p01,sio2,train,0.44102265510703703
sio2 all 20 dish white_p01_r0237,sio2 all 20 dish white_p01,sio2,train,0.43180540191833805
sio2 all 20 dish white_p01_r0238,sio2 all 20 dish white_p01,sio2,train,0.4269197906143765
sio2 all 20 dish white_p01_r0239,sio2 all 20 dish white_p01,sio2,train,0.4258938710370004
sio2 all 20 dish white_p01_r0240,sio2 all 20 dish white_p01,sio2,train,0.429079039939229
sio2 all 20 dish white_p01_r0241,sio2 all 20 dish white_p01,sio2,train,0.43346749422055064
sio2 all 20 dish white_p01_r0242,sio2 all 20 dish white_p01,sio2,train,0.4369516460165818
sio2 all 20 dish white_p01_r0243,sio2 all 20 dish white_p01,sio2,train,0.43562554471944653
sio2 all 20 dish white_p01_r0244,sio2 all 20 dish white_p01,sio2,train,0.4320749938131533
sio2 all 20 dish white_p01_r0245,sio2 all 20 dish white_p01,sio2,train,0.43183334801374357
sio2 all 20 dish white_p01_r0246,sio2 all 20 dish white_p01,sio2,train,0.4587407526626009
sio2 all 20 dish white_p01_r0247,sio2 all 20 dish white_p01,sio2,train,0.48683056923435064
sio2 all 20 dish white_p01_r0248,sio2 all 20 dish white_p01,sio2,train,0.4910580159034961
sio2 all 20 dish white_p01_r0249,sio2 all 20 dish white_p01,sio2,train,0.4573707939252868
sio2 all 20 dish white_p01_r0250,sio2 all 20 dish white_p01,sio2,train,0.4442801222034423
sio2 all 20 dish white_p01_r0251,sio2 all 20 dish white_p01,sio2,train,0.43425506865065405
sio2 all 20 dish white_p01_r0252,sio2 all 20 dish white_p01,sio2,train,0.44274969625890065
sio2 all 20 dish white_p01_r0253,sio2 all 20 dish white_p01,sio2,train,0.4273531077629081
sio2 all 20 dish white_p01_r0254,sio2 all 20 dish white_p01,sio2,train,0.4208501081523281
sio2 all 20 dish white_p01_r0255,sio2 all 20 dish white_p01,sio2,train,0.410120954965997
sio2 all 20 dish white_p01_r0256,sio2 all 20 dish white_p01,sio2,train,0.4108078991177693
sio2 all 20 dish white_p01_r0257,sio2 all 20 dish white_p01,sio2,train,0.4334259882277987
sio2 all 20 dish white_p01_r0258,sio2 all 20 dish white_p01,sio2,train,0.4061184476520508
sio2 all 20 dish white_p01_r0259,sio2 all 20 dish white_p01,sio2,train,0.40369560724327974
sio2 all 20 dish white_p01_r0260,sio2 all 20 dish white_p01,sio2,train,0.42112905321840766
sio2 all 20 dish white_p01_r0261,sio2 all 20 dish white_p01,sio2,train,0.43404741186317247
sio2 all 20 dish white_p01_r0262,sio2 all 20 dish white_p01,sio2,train,0.4401606226603985
sio2 all 20 dish white_p01_r0263,sio2 all 20 dish white_p01,sio2,train,0.45520883654806255
sio2 all 20 dish white_p01_r0264,sio2 all 20 dish white_p01,sio2,train,0.4853380046917504
sio2 all 20 dish white_p01_r0265,sio2 all 20 dish white_p01,sio2,train,0.5275212938611672
sio2 all 20 dish white_p01_r0266,sio2 all 20 dish white_p01,sio2,train,0.532965135740298
sio2 all 20 dish white_p01_r0267,sio2 all 20 dish white_p01,sio2,train,0.5316825858050818
sio2 all 20 dish white_p01_r0268,sio2 all 20 dish white_p01,sio2,train,0.5536165445441511
sio2 all 20 dish white_p01_r0269,sio2 all 20 dish white_p01,sio2,train,0.55970217267433
sio2 all 20 dish white_p01_r0270,sio2 all 20 dish white_p01,sio2,train,0.5634416420756471
sio2 all 20 dish white_p01_r0271,sio2 all 20 dish white_p01,sio2,train,0.5840566377803984
sio2 all 20 dish white_p01_r0272,sio2 all 20 dish white_p01,sio2,train,0.6003399177279007
sio2 all 20 dish white_p01_r0273,sio2 all 20 dish white_p01,sio2,train,0.6102272093122134
sio2 all 20 dish white_p01_r0274,sio2 all 20 dish white_p01,sio2,train,0.4353437506519778
sio2 all 20 dish white_p01_r0275,sio2 all 20 dish white_p01,sio2,train,0.4367759936033959
sio2 all 20 dish white_p01_r0276,sio2 all 20 dish white_p01,sio2,train,0.4246962689534247
sio2 all 20 dish white_p01_r0277,sio2 all 20 dish white_p01,sio2,train,0.4206438262621727
sio2 all 20 dish white_p01_r0278,sio2 all 20 dish white_p01,sio2,train,0.4246987567939523
sio2 all 20 dish white_p01_r0279,sio2 all 20 dish white_p01,sio2,train,0.42751238769969757
sio2 all 20 dish white_p01_r0280,sio2 all 20 dish white_p01,sio2,train,0.42359983184414096
sio2 all 20 dish white_p01_r0281,sio2 all 20 dish white_p01,sio2,train,0.4275697154073903
sio2 all 20 dish white_p01_r0282,sio2 all 20 dish white_p01,sio2,train,0.4327165773533135
sio2 all 20 dish white_p01_r0283,sio2 all 20 dish white_p01,sio2,train,0.43747834048079204
sio2 all 20 dish white_p01_r0284,sio2 all 20 dish white_p01,sio2,train,0.4349521645492188
sio2 all 20 dish white_p01_r0285,sio2 all 20 dish white_p01,sio2,train,0.44129730254975824
